work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,company_location,company_size
2,3,2,56,80750,84,77,1
2,3,2,168,118000,84,77,1
2,3,2,168,82000,84,77,1
2,3,2,265,288400,84,77,1
2,3,2,265,144200,84,77,1
2,3,2,265,288400,84,77,1
2,3,2,265,144200,84,77,1
2,3,2,36,272000,84,77,1
2,3,2,168,162050,84,77,1
2,3,2,168,101300,84,77,1
2,3,2,269,230000,84,77,1
2,3,2,269,148000,84,77,1
2,3,2,266,156600,84,77,1
2,3,2,266,84200,84,77,1
2,2,2,38,195900,84,77,1
2,2,2,38,153200,84,77,1
2,2,2,194,220000,84,77,1
2,2,2,194,96700,84,77,1
2,2,2,81,154000,84,77,1
2,2,2,81,67700,84,77,1
2,3,2,36,155000,84,77,1
2,3,2,36,115000,84,77,1
2,3,2,194,267500,84,77,1
2,3,2,194,119400,84,77,1
2,2,2,194,185700,84,77,1
2,2,2,194,82900,84,77,1
2,2,2,206,176000,84,77,1
2,2,2,206,72700,84,77,1
2,3,2,194,197900,84,77,1
2,3,2,194,146600,84,77,1
2,3,2,35,199000,84,77,1
2,3,2,35,153000,84,77,1
2,3,2,141,132600,84,77,1
2,3,2,141,80845,84,77,1
2,3,2,141,234000,84,77,1
2,3,2,141,117000,84,77,1
2,3,2,141,234000,84,77,1
2,3,2,141,117000,84,77,1
2,3,2,141,125000,84,77,1
2,3,2,141,110000,84,77,1
2,3,2,168,145200,84,77,1
2,3,2,168,118800,84,77,1
2,3,2,266,286000,84,77,1
2,3,2,266,143000,84,77,1
2,2,2,161,172000,84,77,1
2,2,2,161,75600,84,77,1
2,0,2,266,108000,84,77,1
2,0,2,266,40000,84,77,1
2,3,2,168,259425,84,77,1
2,3,2,168,162041,84,77,1
2,2,2,223,143091,84,77,1
2,2,2,223,95394,84,77,1
2,0,2,168,72000,84,77,1
2,0,2,168,54000,84,77,1
2,3,2,94,166750,84,77,1
2,3,2,94,123250,84,77,1
2,3,2,112,172080,84,77,1
2,3,2,112,114720,84,77,1
2,3,2,84,164600,84,77,1
2,3,2,84,98800,84,77,1
2,3,2,104,132250,84,77,1
2,3,2,104,97750,84,77,1
2,2,2,194,250000,84,77,1
2,2,2,194,170000,84,77,1
2,3,2,194,202750,84,77,1
2,3,2,194,139800,84,77,1
2,2,2,64,100000,84,77,1
2,2,2,64,90000,84,77,1
2,2,2,64,141200,84,77,1
2,2,2,64,57000,84,77,1
2,3,2,24,148950,84,77,1
2,3,2,24,72473,84,77,1
2,3,2,124,136852,84,77,1
2,3,2,124,95797,84,77,1
2,2,2,97,196200,84,77,1
2,2,2,97,118800,84,77,1
2,2,2,141,187000,84,77,1
2,2,2,141,127000,84,77,1
2,2,2,141,251600,84,77,1
2,2,2,141,120100,84,77,1
2,3,2,141,223500,84,77,1
2,3,2,141,109100,84,77,1
2,3,2,141,312200,84,77,1
2,3,2,141,175800,84,77,1
2,3,2,141,250600,84,77,1
2,3,2,141,166600,84,77,1
2,2,2,141,160000,84,77,1
2,2,2,141,114236,84,77,1
2,2,2,78,130000,84,77,1
2,2,2,78,120000,84,77,1
2,0,2,84,76000,84,77,1
2,0,2,84,58000,84,77,1
2,2,2,91,168000,84,77,1
2,2,2,91,96000,84,77,1
2,2,2,84,90000,84,77,1
2,2,2,84,80000,84,77,1
2,0,2,84,103100,84,77,1
2,0,2,84,66500,84,77,1
2,0,2,84,18000,15,15,1
2,0,2,84,18000,42,40,1
2,3,2,84,142300,84,77,1
